State,Children
Andaman and Nicobar Islands,92675
Andhra Pradesh,25784330.29
Arunachal Pradesh,562432.33
Assam,11683744.98
Bihar,47562155.41
Chandigarh,266512
Chhattisgarh,9329573.45
Dadra and Nagar Haveli and Daman and Diu,162798
Delhi,5204463.46
Goa,362702.33
Gujarat,19887999.43
Haryana,8584147.36
Himachal Pradesh,2023939.09
Jammu and Kashmir,4834408.97
Jharkhand,13555874.25
Karnataka,18268357.26
Kerala,8927310.47
Madhya Pradesh,27704557.47
Maharashtra,34105624.94
Manipur,982324.57
Meghalaya,1342854.49
Mizoram,405842.01
Nagaland,774096.73
Odisha,13767121.51
Puducherry,298392
Punjab,8076843.17
Rajasthan,27046985.92
Sikkim,189168.24
Tamil Nadu,12934505.2
Telangana,24667719.8
Tripura,909856.78
Uttar Pradesh,81291422.62
Uttarakhand,3567069.16
West Bengal,28200721.47
