State,Confirmed,Deaths,Active,Code,Population_density,Accessibility,Children,Senior_citizen,All_health_workers_percent,Hospital_beds,Ratio_vacant_beds,Death_rate,Batch_no,Further_percentage_no
Maharashtra,1984768,50336,52152,IN-MH,416.3189043,6335.44,34105624.94,11107000,13.67,231739,0.22504628051385395,2.5361150522378435,1,85.4417670682731
Uttar Pradesh,595614,8558,9581,IN-UP,945.4528614,7863.0,81291422.62,15440000,10.81,281402,0.03404737706199672,1.436836608944719,1,14.558232931726895
Kerala,836884,3416,67498,IN-KL,979.9271801,1811.52,8927310.47,4193000,6.06,99227,0.6802382416076269,0.4081808231487279,2,100
Karnataka,930668,12158,8790,IN-KA,363.1486462,6294.29,18268357.26,5791000,5.27,262109,0.033535666459373774,1.3063734865709362,3,12.950050622353384
Andhra Pradesh,885710,7139,2199,IN-AP,345.4724302,7118.0,25784330.29,4787910,4.53,83230,0.02642076174456326,0.8060200291291733,3,6.59783257656634
Tamil Nadu,829573,12251,6299,IN-TN,632.4258406,5006.14,12934505.2,7510000,6.72,155375,0.040540627514078845,1.4767838393968946,3,8.984939855425266
West Bengal,564098,10026,7223,IN-WB,1172.421703,2909.8,28200721.47,7742000,9.44,113535,0.06361914828026599,1.777350744019656,3,13.59998990941407
Odisha,332949,1951,1910,IN-OR,307.3118742,4644.52,13767121.51,3984000,3.54,25650,0.07446393762183236,0.5859756299012762,3,5.7931450488487854
Rajasthan,314682,2744,5608,IN-RJ,228.3352248,7806.2,27046985.92,5112000,3.92,93176,0.06018717266248819,0.8719914071983781,3,9.88348445844388
Telangana,291118,1574,4442,IN-TG,366.1754062,3762.19,24667719.8,3490090,3.3,99919,0.04445600936758774,0.5406742283197878,3,9.50870680516255
Bihar,258289,1449,3981,IN-BR,1260.297335,4678.79,47562155.41,7707000,4.42,30857,0.12901448617817676,0.5609995005594509,3,7.374237259017065
Gujarat,254849,4360,6750,IN-GJ,351.4939548,3973.29,19887999.43,4787000,4.27,64862,0.1040670962967531,1.7108169935922841,3,12.822935402767838
Madhya Pradesh,250858,3746,6957,IN-MP,268.5998702,5184.57,27704557.47,5713000,4.75,64939,0.10713130784274473,1.493275079925695,3,12.48467806200082
Delhi,631884,10732,2795,IN-DL,12896.39623,80.0,5204463.46,1147000,3.22,39455,0.07084019769357495,1.6984129998544035,4,45.287419467145405
Punjab,170191,5485,2739,IN-PB,628.0013899,2136.15,8076843.17,2866000,3.19,60997,0.04490384773021624,3.2228496218953997,4,39.68765747214837
Chandigarh,20464,330,266,IN-CH,10369.33333,15.28,266512.0,67000,0.3,5631,0.04723850115432428,1.6125879593432368,4,15.024923060706232
Chhattisgarh,292612,3544,6923,IN-CT,215.4102492,3078.4,9329573.45,2004000,1.66,17430,0.39718875502008033,1.2111601711481415,5,10.28050467256259
Haryana,265964,2979,2184,IN-HR,653.683751,2057.48,8584147.36,2194000,2.09,36141,0.06042998256827426,1.1200764013174715,5,6.513765796958289
Assam,216777,1066,1616,IN-AS,453.5347281,3675.06,11683744.98,2079000,1.91,24178,0.06683762097774837,0.49174958598006246,5,6.1499624202086824
Jammu and Kashmir,123108,1920,1428,IN-JK,338.464596,2319.0,4834408.97,923000,1.08,7995,0.17861163227016885,1.5596061994346428,5,6.573685072243748
Jharkhand,117480,1049,1289,IN-JH,471.7674687,2996.64,13555874.25,2357000,2.0,26496,0.04864885265700483,0.8929179434797412,5,6.049140700145542
Uttarakhand,94465,1602,2406,IN-UT,214.9911748,2364.92,3567069.16,901000,0.89,23843,0.10091012037075871,1.6958661938284019,5,6.7954983806962606
Himachal Pradesh,56802,951,767,IN-HP,140.5644927,2396.48,2023939.09,703000,0.76,16040,0.04781795511221945,1.6742368226470898,5,5.460586247175117
Goa,52262,753,866,IN-GA,449.1466775,262.0,362702.33,163000,0.29,4584,0.18891797556719023,1.440817419922697,5,5.64508035699396
Puducherry,38595,640,294,IN-PY,2605.329854,64.03,298392.0,120000,0.3,5172,0.0568445475638051,1.658245886772898,5,5.454266284419142
Tripura,33322,387,45,IN-TR,233.2179096,577.0,909856.78,290000,0.28,4667,0.009642168416541676,1.1613948742572475,5,4.439060944256779
Manipur,28811,365,436,IN-MN,145.8147534,1488.74,982324.57,200000,0.27,1790,0.2435754189944134,1.2668772343896428,5,5.3264034886885065
Arunachal Pradesh,16798,56,68,IN-AR,18.83681024,1780.05,562432.33,64000,0.14,2624,0.025914634146341462,0.33337302059769025,5,4.129308876707382
Meghalaya,13691,144,161,IN-ML,150.7982968,1204.36,1342854.49,139000,0.17,5244,0.03070175438596491,1.0517858447155066,5,4.651138504575592
Nagaland,12039,88,104,IN-NL,136.0451776,1046.09,774096.73,103000,0.26,2561,0.04060913705583756,0.7309577207409254,5,4.535989657925316
Sikkim,6024,130,258,IN-SK,98.0916009,309.0,189168.24,41000,0.12,1952,0.13217213114754098,2.158034528552457,5,5.438946853456749
Andaman and Nicobar Islands,4979,62,22,IN-AN,46.13662262,330.7,92675.0,25000,0.09,1294,0.017001545595054096,1.2452299658565977,5,4.514757373697694
Mizoram,4310,9,89,IN-MZ,59.33371282,1181.0,405842.01,69000,0.25,2496,0.03565705128205128,0.20881670533642693,5,4.19922951903107
Dadra and Nagar Haveli and Daman and Diu,3373,2,11,IN-DH,1041.792703,53.0,162798.0,25000,0.03,2191,0.005020538566864446,0.059294396679513785,5,3.8426748502575707
