,Date,State,District,Active,Population_2020,Batch_no
0,2021-01-14,Andaman and Nicobar Islands,Andaman and Nicobar Islands,23,426251,1
1,2021-01-14,Andhra Pradesh,Anantapur,126,4652509,3
2,2021-01-14,Andhra Pradesh,Chittoor,179,4758433,3
3,2021-01-14,Andhra Pradesh,East Godavari,222,5875897,1
4,2021-01-14,Andhra Pradesh,Guntur,307,5572107,1
5,2021-01-14,Andhra Pradesh,Krishna,343,5149834,1
6,2021-01-14,Andhra Pradesh,Kurnool,107,4620948,3
7,2021-01-14,Andhra Pradesh,Prakasam,44,3873091,4
8,2021-01-14,Andhra Pradesh,S.P.S. Nellore,422,3378455,2
9,2021-01-14,Andhra Pradesh,Srikakulam,58,3081550,4
10,2021-01-14,Andhra Pradesh,Visakhapatnam,184,4891271,3
11,2021-01-14,Andhra Pradesh,Vizianagaram,37,2672700,4
12,2021-01-14,Andhra Pradesh,West Godavari,162,4488141,3
13,2021-01-14,Andhra Pradesh,Y.S.R. Kadapa,147,3286015,4
14,2021-01-14,Arunachal Pradesh,Anjaw,0,24130,2
15,2021-01-14,Arunachal Pradesh,Changlang,5,168978,1
16,2021-01-14,Arunachal Pradesh,East Kameng,0,89707,2
17,2021-01-14,Arunachal Pradesh,East Siang,8,113104,1
18,2021-01-14,Arunachal Pradesh,Kurung Kumey,0,104967,2
19,2021-01-14,Arunachal Pradesh,Lohit,2,166128,1
20,2021-01-14,Arunachal Pradesh,Lower Dibang Valley,0,61651,2
21,2021-01-14,Arunachal Pradesh,Lower Subansiri,0,94654,2
22,2021-01-14,Arunachal Pradesh,Papum Pare,18,201293,1
23,2021-01-14,Arunachal Pradesh,Tawang,5,56974,2
24,2021-01-14,Arunachal Pradesh,Tirap,2,127652,2
25,2021-01-14,Arunachal Pradesh,Upper Siang,0,40265,2
26,2021-01-14,Arunachal Pradesh,Upper Subansiri,0,95131,2
27,2021-01-14,Arunachal Pradesh,West Kameng,19,95700,1
28,2021-01-14,Arunachal Pradesh,West Siang,0,127992,2
29,2021-01-14,Assam,Assam,1644,34586234,1
30,2021-01-14,Bihar,Araria,21,3205189,2
31,2021-01-14,Bihar,Arwal,31,798961,2
32,2021-01-14,Bihar,Aurangabad,57,2895683,2
33,2021-01-14,Bihar,Banka,120,2319630,2
34,2021-01-14,Bihar,Begusarai,145,3386417,2
35,2021-01-14,Bihar,Bhagalpur,117,3463053,2
36,2021-01-14,Bihar,Bhojpur,41,3110384,2
37,2021-01-14,Bihar,Buxar,35,1945241,2
38,2021-01-14,Bihar,Darbhanga,89,4488619,2
39,2021-01-14,Bihar,East Champaran,48,5813283,2
40,2021-01-14,Bihar,Gaya,92,5006217,2
41,2021-01-14,Bihar,Gopalganj,41,2920694,2
42,2021-01-14,Bihar,Jamui,9,2006862,2
