State,District,Population_2020
Andaman and Nicobar Islands,Andaman and Nicobar Islands,426251
Andhra Pradesh,Srikakulam,3081550
Andhra Pradesh,Vizianagaram,2672700
Andhra Pradesh,Visakhapatnam,4891271
Andhra Pradesh,East Godavari,5875897
Andhra Pradesh,West Godavari,4488141
Andhra Pradesh,Krishna,5149834
Andhra Pradesh,Guntur,5572107
Andhra Pradesh,Prakasam,3873091
Andhra Pradesh,S.P.S. Nellore,3378455
Andhra Pradesh,Y.S.R. Kadapa,3286015
Andhra Pradesh,Kurnool,4620948
Andhra Pradesh,Anantapur,4652509
Andhra Pradesh,Chittoor,4758433
Arunachal Pradesh,Tawang,56974
Arunachal Pradesh,West Kameng,95700
Arunachal Pradesh,East Kameng,89707
Arunachal Pradesh,Papum Pare,201293
Arunachal Pradesh,Upper Subansiri,95131
Arunachal Pradesh,West Siang,127992
Arunachal Pradesh,East Siang,113104
Arunachal Pradesh,Upper Siang,40265
Arunachal Pradesh,Changlang,168978
Arunachal Pradesh,Tirap,127652
Arunachal Pradesh,Lower Subansiri,94654
Arunachal Pradesh,Kurung Kumey,104967
Arunachal Pradesh,Dibang Valley,9125
Arunachal Pradesh,Lower Dibang Valley,61651
Arunachal Pradesh,Lohit,166128
Arunachal Pradesh,Anjaw,24130
Assam,Assam,34586234
Bihar,West Champaran,4485948
Bihar,East Champaran,5813283
Bihar,Sheohar,748120
Bihar,Sitamarhi,3902874
Bihar,Madhubani,5115612
Bihar,Supaul,2541147
Bihar,Araria,3205189
Bihar,Kishanganj,1927056
Bihar,Purnia,3721666
Bihar,Katihar,3500973
Bihar,Madhepura,2282009
Bihar,Saharsa,2166754
Bihar,Darbhanga,4488619
Bihar,Muzaffarpur,5473211
Bihar,Gopalganj,2920694
Bihar,Siwan,3796729
Bihar,Saran,4505123
Bihar,Vaishali,3984324
Bihar,Samastipur,4858185
Bihar,Begusarai,3386417
Bihar,Khagaria,1900250
Bihar,Bhagalpur,3463053
Bihar,Banka,2319630
Bihar,Munger,1559252
Bihar,Lakhisarai,1141040
Bihar,Sheikhpura,725430
Bihar,Nalanda,3280524
Bihar,Patna,6655850
Bihar,Bhojpur,3110384
