State,Code,Population_density,Accessibility,Children,Senior_citizen,All_health_workers_percent,Hospital_beds
Andaman and Nicobar Islands,IN-AN,46.13662262,330.7,92675,25000,0.09,1294
Andhra Pradesh,IN-AP,345.4724302,7118,25784330.29,4787910,4.53,83230
Arunachal Pradesh,IN-AR,18.83681024,1780.05,562432.33,64000,0.14,2624
Assam,IN-AS,453.5347281,3675.06,11683744.98,2079000,1.91,24178
Bihar,IN-BR,1260.297335,4678.79,47562155.41,7707000,4.42,30857
Chandigarh,IN-CH,10369.33333,15.28,266512,67000,0.3,5631
Chhattisgarh,IN-CT,215.4102492,3078.4,9329573.45,2004000,1.66,17430
Dadra and Nagar Haveli and Daman and Diu,IN-DH,1041.792703,53,162798,25000,0.03,2191
Delhi,IN-DL,12896.39623,80,5204463.46,1147000,3.22,39455
Goa,IN-GA,449.1466775,262,362702.33,163000,0.29,4584
Gujarat,IN-GJ,351.4939548,3973.29,19887999.43,4787000,4.27,64862
Haryana,IN-HR,653.683751,2057.48,8584147.36,2194000,2.09,36141
Himachal Pradesh,IN-HP,140.5644927,2396.48,2023939.09,703000,0.76,16040
Jammu and Kashmir,IN-JK,338.464596,2319,4834408.97,923000,1.08,7995
Jharkhand,IN-JH,471.7674687,2996.64,13555874.25,2357000,2,26496
Karnataka,IN-KA,363.1486462,6294.29,18268357.26,5791000,5.27,262109
Kerala,IN-KL,979.9271801,1811.52,8927310.47,4193000,6.06,99227
Madhya Pradesh,IN-MP,268.5998702,5184.57,27704557.47,5713000,4.75,64939
Maharashtra,IN-MH,416.3189043,6335.44,34105624.94,11107000,13.67,231739
Manipur,IN-MN,145.8147534,1488.74,982324.57,200000,0.27,1790
Meghalaya,IN-ML,150.7982968,1204.36,1342854.49,139000,0.17,5244
Mizoram,IN-MZ,59.33371282,1181,405842.01,69000,0.25,2496
Nagaland,IN-NL,136.0451776,1046.09,774096.73,103000,0.26,2561
Odisha,IN-OR,307.3118742,4644.52,13767121.51,3984000,3.54,25650
Puducherry,IN-PY,2605.329854,64.03,298392,120000,0.3,5172
Punjab,IN-PB,628.0013899,2136.15,8076843.17,2866000,3.19,60997
Rajasthan,IN-RJ,228.3352248,7806.2,27046985.92,5112000,3.92,93176
Sikkim,IN-SK,98.0916009,309,189168.24,41000,0.12,1952
Tamil Nadu,IN-TN,632.4258406,5006.14,12934505.2,7510000,6.72,155375
Telangana,IN-TG,366.1754062,3762.19,24667719.8,3490090,3.3,99919
Tripura,IN-TR,233.2179096,577,909856.78,290000,0.28,4667
Uttar Pradesh,IN-UP,945.4528614,7863,81291422.62,15440000,10.81,281402
Uttarakhand,IN-UT,214.9911748,2364.92,3567069.16,901000,0.89,23843
West Bengal,IN-WB,1172.421703,2909.8,28200721.47,7742000,9.44,113535
